frame,x,y
0,388.0,470.0
1,387.5,470.5
2,386.0,470.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,379.0,467.5
7,378.5,467.0
8,377.0,467.0
9,376.0,467.5
10,373.5,468.0
11,372.0,467.0
12,370.5,466.0
13,370.0,465.5
14,368.0,466.0
15,366.5,465.0
16,365.0,464.5
17,363.5,464.0
18,362.5,462.5
19,361.0,462.0
20,360.0,462.0
21,359.0,461.5
22,357.0,461.0
23,0.0,0.0
24,353.0,459.0
25,351.5,458.5
26,350.0,458.0
27,347.5,457.0
28,346.5,457.5
29,345.5,457.0
30,344.5,456.5
31,343.5,457.0
32,342.5,457.5
33,341.5,457.5
34,341.0,458.5
35,339.5,459.5
36,338.5,460.0
37,337.0,460.5
38,335.0,459.0
39,334.0,458.0
40,333.5,456.5
41,332.5,454.0
42,332.5,451.0
43,332.0,449.5
44,331.5,447.5
45,331.0,445.5
46,330.5,444.5
47,330.0,444.5
48,329.5,443.5
49,329.5,444.0
50,328.5,443.5
51,327.5,443.5
52,327.0,442.0
53,326.0,440.5
54,326.0,440.5
55,325.5,438.5
56,325.0,437.5
57,324.5,436.5
58,324.0,435.5
59,323.5,435.0
60,323.5,433.5
61,322.5,431.5
62,322.5,430.5
63,321.0,431.0
64,321.0,430.5
65,321.0,431.5
66,321.0,430.5
67,321.5,431.0
68,323.0,431.0
69,323.5,430.5
70,325.0,430.0
71,325.0,429.0
72,324.5,427.5
73,326.0,427.5
74,327.0,427.5
75,329.0,426.0
76,330.5,425.0
77,332.5,424.0
78,337.0,422.5
79,339.5,421.0
80,343.0,421.0
81,347.5,420.0
82,354.0,420.0
83,359.5,420.5
84,364.5,420.5
85,369.5,422.0
86,375.0,423.0
87,384.5,424.0
88,389.5,423.0
89,397.0,423.5
90,406.5,422.5
91,413.5,422.0
92,420.5,420.5
93,428.0,420.0
94,435.5,418.0
95,440.5,417.0
96,450.5,416.5
97,445.0,417.0
98,463.0,413.5
99,472.5,413.0
100,470.5,412.0
101,485.5,410.5
102,494.5,408.5
103,499.0,407.5
104,507.5,405.0
105,515.0,402.5
106,522.0,404.5
107,530.5,401.5
108,537.5,400.0
109,545.0,399.5
110,552.5,397.5
111,558.5,396.5
112,565.5,394.0
113,571.0,393.0
114,577.5,391.0
115,585.5,390.0
116,592.0,390.0
117,598.0,387.5
118,604.5,385.5
119,609.5,384.0
120,616.0,384.5
121,623.0,383.5
122,629.5,383.5
123,633.0,383.0
124,640.0,382.5
125,646.5,380.5
126,653.5,378.5
127,658.5,376.5
128,665.0,376.5
129,670.0,374.0
130,677.5,374.0
131,683.5,371.5
132,689.5,371.0
133,695.0,369.0
134,701.5,366.5
135,708.0,365.5
136,714.5,364.0
137,719.5,363.5
138,727.5,363.0
139,733.5,362.0
140,738.5,362.0
141,743.5,361.5
142,751.0,360.5
143,755.0,359.5
144,761.5,358.0
145,764.5,358.0
146,771.5,357.0
147,775.5,355.0
148,780.5,352.0
149,785.0,353.0
150,789.5,349.5
151,793.0,347.5
152,797.5,347.0
153,800.0,345.5
154,804.5,346.0
155,807.5,346.5
156,809.0,345.5
157,811.5,343.0
158,815.0,340.5
159,817.5,340.0
160,821.0,338.5
161,824.0,338.0
162,827.0,336.0
163,829.5,335.0
164,832.0,333.5
165,833.5,331.0
166,838.0,330.0
167,841.5,328.5
168,843.5,327.5
169,846.0,326.5
170,848.0,326.0
171,850.5,324.5
172,853.5,323.0
173,855.5,320.5
174,856.5,319.5
175,858.5,320.0
176,862.5,317.0
177,865.0,316.5
178,869.0,315.5
179,869.5,315.0
180,872.5,314.5
181,876.5,313.5
182,878.5,311.5
183,878.5,310.0
184,881.0,309.0
185,882.0,308.5
186,884.0,305.5
187,886.5,302.5
188,889.0,300.5
189,890.0,299.5
190,894.0,297.0
191,892.5,295.0
192,895.0,293.5
193,898.5,291.0
194,899.0,289.5
195,902.0,287.0
196,901.0,286.5
197,901.0,284.0
198,903.5,283.0
199,904.5,281.5
200,905.5,280.5
201,907.0,278.0
202,910.0,276.5
203,909.0,276.0
204,910.5,272.5
205,911.0,272.0
206,912.5,270.5
207,914.0,269.5
208,915.5,268.0
209,915.5,266.5
210,918.5,264.0
211,917.5,262.5
212,922.0,258.5
213,922.0,257.5
214,923.5,256.5
215,924.5,256.0
216,924.5,256.0
217,926.0,254.5
218,927.0,252.0
219,928.0,252.5
220,929.0,250.5
221,930.0,249.0
222,930.0,249.0
223,932.5,246.5
224,933.5,244.0
225,934.5,240.0
226,936.0,240.0
227,938.0,237.0
228,937.0,236.0
229,938.5,235.5
230,939.0,233.5
231,940.5,233.0
232,943.5,231.0
233,944.5,229.5
234,946.5,228.0
235,949.0,225.5
236,951.5,223.5
237,951.0,221.0
238,953.5,220.0
239,955.0,217.0
240,957.0,214.5
241,958.0,212.0
242,958.5,211.0
243,960.5,210.0
244,961.0,209.0
245,962.5,206.0
246,963.5,204.0
247,964.0,201.5
248,965.5,199.5
249,967.0,193.0
250,969.5,192.5
251,973.0,189.5
252,974.0,185.5
253,977.5,182.0
254,978.0,180.0
255,980.0,180.0
256,981.0,177.5
257,983.0,173.0
258,985.0,170.0
259,986.0,169.5
260,990.5,163.5
261,993.5,161.0
262,998.0,158.0
263,1000.0,154.0
264,1001.0,152.5
265,1004.0,150.0
266,1004.5,164.0
267,1007.0,145.5
268,1005.5,143.0
269,1007.0,137.5
270,1008.5,133.5
271,1011.0,132.5
272,1017.0,124.5
273,1012.0,125.5
274,1012.5,125.5
275,1015.5,121.0
276,1018.0,121.5
277,1017.0,140.0
278,1007.5,141.0
279,1010.0,139.0
280,1004.5,137.5
281,1004.5,132.5
282,1034.0,103.0
283,1036.5,101.0
284,1036.5,102.0
285,1038.0,99.0
286,1041.5,92.0
287,1039.0,110.5
288,1044.5,96.5
289,1039.5,101.5
290,1040.5,101.0
291,1039.5,104.0
292,1041.0,102.5
293,1043.5,100.0
294,1044.0,99.0
295,1043.5,99.0
296,1044.0,101.0
297,1045.5,100.0
298,1046.0,100.5
